SSID,Time,RSSI
a,13:32:45,-42
a,13:32:48,-42
a,13:32:51,-41
a,13:32:55,-41
a,13:32:58,-44
a,13:33:01,-36
a,13:33:04,-36
a,13:33:08,-41
a,13:33:11,-40
a,13:33:15,-42
a,13:33:18,-40
a,13:33:21,-44
a,13:33:25,-46
a,13:33:28,-48
a,13:33:31,-49
a,13:33:35,-50
a,13:33:38,-52
a,13:33:41,-53
a,13:33:45,-51
a,13:33:48,-50
c,13:32:45,-57
c,13:32:48,-61
c,13:32:51,-54
c,13:32:55,-56
c,13:32:58,-60
c,13:33:01,-54
c,13:33:04,-53
c,13:33:08,-48
c,13:33:11,-52
c,13:33:15,-47
c,13:33:18,-65
c,13:33:21,-37
c,13:33:25,-39
c,13:33:28,-40
c,13:33:31,-36
c,13:33:35,-37
c,13:33:38,-40
c,13:33:41,-44
c,13:33:45,-44
c,13:33:48,-44
b,13:32:45,-59
b,13:32:48,-43
b,13:32:51,-41
b,13:32:55,-36
b,13:32:58,-28
b,13:33:01,-32
b,13:33:04,-42
b,13:33:08,-48
b,13:33:11,-55
b,13:33:15,-53
b,13:33:18,-53
b,13:33:21,-54
b,13:33:25,-55
b,13:33:28,-55
b,13:33:31,-62
b,13:33:35,-65
b,13:33:38,-59
b,13:33:41,-59
b,13:33:45,-60
b,13:33:48,-59
