x,y,alpha,SSID,RSSI
1,2,0,a,-39
1,2,0,b,-45
1,2,0,c,-46
1,2,270,a,-49
1,2,270,b,-38
1,2,270,c,-52
1,2,180,a,-37
1,2,180,b,-42
1,2,180,c,-54
1,2,90,a,-37
1,2,90,b,-49
1,2,90,c,-38
2,2,90,a,-37
2,2,90,b,-52
2,2,90,c,-40
2,2,0,a,-47
2,2,0,b,-56
2,2,0,c,-42
2,2,270,a,-46
2,2,270,b,-45
2,2,270,c,-44
2,2,180,a,-39
2,2,180,b,-54
2,2,180,c,-56
2,1,90,a,-38
2,1,90,b,-57
2,1,90,c,-45
2,1,0,a,-47
2,1,0,b,-62
2,1,0,c,-51
2,1,270,a,-50
2,1,270,b,-48
2,1,270,c,-50
2,1,180,a,-45
2,1,180,b,-47
2,1,180,c,-48
2,3,90,a,-49
2,3,90,b,-55
2,3,90,c,-47
2,3,0,a,-51
2,3,0,b,-47
2,3,0,c,-45
2,3,270,a,-48
2,3,270,b,-51
2,3,270,c,-44
2,3,180,a,-43
2,3,180,b,-45
2,3,180,c,-52
3,3,90,a,-50
3,3,90,b,-58
3,3,90,c,-59
3,3,0,a,-55
3,3,0,b,-55
3,3,0,c,-42
3,3,270,a,-46
3,3,270,b,-50
3,3,270,c,-45
3,3,180,a,-40
3,3,180,b,-53
3,3,180,c,-49
3,1,90,a,-47
3,1,90,b,-55
3,1,90,c,-45
3,1,0,a,-53
3,1,0,b,-65
3,1,0,c,-53
3,1,270,a,-52
3,1,270,b,-61
3,1,270,c,-58
3,1,180,a,-47
3,1,180,b,-58
3,1,180,c,-44
0,0,0,a,-42
0,0,0,b,-37
0,0,0,c,-51
0,1,0,a,-39
0,1,0,b,-45
0,1,0,c,-52
0,2,0,a,-34
0,2,0,b,-39
0,2,0,c,-48
3,4,270,a,-48
3,4,270,b,-44
3,4,270,c,-44
4,4,270,a,-51
4,4,270,b,-50
4,4,270,c,-48
4,3,180,a,-48
4,3,180,b,-49
4,3,180,c,-43
4,2,180,a,-46
4,2,180,b,-44
4,2,180,c,-50
